,XX,YY,xxyy,xlon,ylat
0,-11696537.046342866,4486779.275886988,"(-105.07177999999999, 40.305424)",-105.07177999999999,40.305424
1,-11696537.046342866,4486799.275886988,"(-105.07177999999999, 40.30560366305683)",-105.07177999999999,40.30560366305683
2,-11696537.046342866,4486819.275886988,"(-105.07177999999999, 40.30578332611365)",-105.07177999999999,40.30578332611365
3,-11696537.046342866,4486839.275886988,"(-105.07177999999999, 40.305962989170474)",-105.07177999999999,40.305962989170474
4,-11696537.046342866,4486859.275886988,"(-105.07177999999999, 40.3061426522273)",-105.07177999999999,40.3061426522273
5,-11696537.046342866,4486879.275886988,"(-105.07177999999999, 40.30632231528412)",-105.07177999999999,40.30632231528412
6,-11696537.046342866,4486899.275886988,"(-105.07177999999999, 40.30650197834095)",-105.07177999999999,40.30650197834095
7,-11696537.046342866,4486919.275886988,"(-105.07177999999999, 40.30668164139777)",-105.07177999999999,40.30668164139777
8,-11696537.046342866,4486939.275886988,"(-105.07177999999999, 40.30686130445459)",-105.07177999999999,40.30686130445459
9,-11696537.046342866,4486959.275886988,"(-105.07177999999999, 40.30704096751142)",-105.07177999999999,40.30704096751142
10,-11696537.046342866,4486979.275886988,"(-105.07177999999999, 40.30722063056824)",-105.07177999999999,40.30722063056824
11,-11696537.046342866,4486999.275886988,"(-105.07177999999999, 40.307400293625065)",-105.07177999999999,40.307400293625065
12,-11696537.046342866,4487019.275886988,"(-105.07177999999999, 40.30757995668189)",-105.07177999999999,40.30757995668189
13,-11696537.046342866,4487039.275886988,"(-105.07177999999999, 40.30775961973871)",-105.07177999999999,40.30775961973871
14,-11696537.046342866,4487059.275886988,"(-105.07177999999999, 40.30793928279554)",-105.07177999999999,40.30793928279554
15,-11696537.046342866,4487079.275886988,"(-105.07177999999999, 40.308118945852364)",-105.07177999999999,40.308118945852364
16,-11696537.046342866,4487099.275886988,"(-105.07177999999999, 40.30829860890918)",-105.07177999999999,40.30829860890918
17,-11696537.046342866,4487119.275886988,"(-105.07177999999999, 40.30847827196601)",-105.07177999999999,40.30847827196601
18,-11696537.046342866,4487139.275886988,"(-105.07177999999999, 40.308657935022836)",-105.07177999999999,40.308657935022836
19,-11696537.046342866,4487159.275886988,"(-105.07177999999999, 40.308837598079656)",-105.07177999999999,40.308837598079656
20,-11696537.046342866,4487179.275886988,"(-105.07177999999999, 40.30901726113648)",-105.07177999999999,40.30901726113648
21,-11696537.046342866,4487199.275886988,"(-105.07177999999999, 40.3091969241933)",-105.07177999999999,40.3091969241933
22,-11696537.046342866,4487219.275886988,"(-105.07177999999999, 40.30937658725013)",-105.07177999999999,40.30937658725013
23,-11696537.046342866,4487239.275886988,"(-105.07177999999999, 40.309556250306954)",-105.07177999999999,40.309556250306954
24,-11696537.046342866,4487259.275886988,"(-105.07177999999999, 40.309735913363774)",-105.07177999999999,40.309735913363774
25,-11696517.046342866,4486779.275886988,"(-105.07160033694318, 40.305424)",-105.07160033694318,40.305424
26,-11696517.046342866,4486799.275886988,"(-105.07160033694318, 40.30560366305683)",-105.07160033694318,40.30560366305683
27,-11696517.046342866,4486819.275886988,"(-105.07160033694318, 40.30578332611365)",-105.07160033694318,40.30578332611365
28,-11696517.046342866,4486839.275886988,"(-105.07160033694318, 40.305962989170474)",-105.07160033694318,40.305962989170474
29,-11696517.046342866,4486859.275886988,"(-105.07160033694318, 40.3061426522273)",-105.07160033694318,40.3061426522273
30,-11696517.046342866,4486879.275886988,"(-105.07160033694318, 40.30632231528412)",-105.07160033694318,40.30632231528412
31,-11696517.046342866,4486899.275886988,"(-105.07160033694318, 40.30650197834095)",-105.07160033694318,40.30650197834095
32,-11696517.046342866,4486919.275886988,"(-105.07160033694318, 40.30668164139777)",-105.07160033694318,40.30668164139777
33,-11696517.046342866,4486939.275886988,"(-105.07160033694318, 40.30686130445459)",-105.07160033694318,40.30686130445459
34,-11696517.046342866,4486959.275886988,"(-105.07160033694318, 40.30704096751142)",-105.07160033694318,40.30704096751142
35,-11696517.046342866,4486979.275886988,"(-105.07160033694318, 40.30722063056824)",-105.07160033694318,40.30722063056824
36,-11696517.046342866,4486999.275886988,"(-105.07160033694318, 40.307400293625065)",-105.07160033694318,40.307400293625065
37,-11696517.046342866,4487019.275886988,"(-105.07160033694318, 40.30757995668189)",-105.07160033694318,40.30757995668189
38,-11696517.046342866,4487039.275886988,"(-105.07160033694318, 40.30775961973871)",-105.07160033694318,40.30775961973871
39,-11696517.046342866,4487059.275886988,"(-105.07160033694318, 40.30793928279554)",-105.07160033694318,40.30793928279554
40,-11696517.046342866,4487079.275886988,"(-105.07160033694318, 40.308118945852364)",-105.07160033694318,40.308118945852364
41,-11696517.046342866,4487099.275886988,"(-105.07160033694318, 40.30829860890918)",-105.07160033694318,40.30829860890918
42,-11696517.046342866,4487119.275886988,"(-105.07160033694318, 40.30847827196601)",-105.07160033694318,40.30847827196601
43,-11696517.046342866,4487139.275886988,"(-105.07160033694318, 40.308657935022836)",-105.07160033694318,40.308657935022836
44,-11696517.046342866,4487159.275886988,"(-105.07160033694318, 40.308837598079656)",-105.07160033694318,40.308837598079656
45,-11696517.046342866,4487179.275886988,"(-105.07160033694318, 40.30901726113648)",-105.07160033694318,40.30901726113648
46,-11696517.046342866,4487199.275886988,"(-105.07160033694318, 40.3091969241933)",-105.07160033694318,40.3091969241933
47,-11696517.046342866,4487219.275886988,"(-105.07160033694318, 40.30937658725013)",-105.07160033694318,40.30937658725013
48,-11696517.046342866,4487239.275886988,"(-105.07160033694318, 40.309556250306954)",-105.07160033694318,40.309556250306954
49,-11696517.046342866,4487259.275886988,"(-105.07160033694318, 40.309735913363774)",-105.07160033694318,40.309735913363774
50,-11696497.046342866,4486779.275886988,"(-105.07142067388635, 40.305424)",-105.07142067388635,40.305424
51,-11696497.046342866,4486799.275886988,"(-105.07142067388635, 40.30560366305683)",-105.07142067388635,40.30560366305683
52,-11696497.046342866,4486819.275886988,"(-105.07142067388635, 40.30578332611365)",-105.07142067388635,40.30578332611365
53,-11696497.046342866,4486839.275886988,"(-105.07142067388635, 40.305962989170474)",-105.07142067388635,40.305962989170474
54,-11696497.046342866,4486859.275886988,"(-105.07142067388635, 40.3061426522273)",-105.07142067388635,40.3061426522273
55,-11696497.046342866,4486879.275886988,"(-105.07142067388635, 40.30632231528412)",-105.07142067388635,40.30632231528412
56,-11696497.046342866,4486899.275886988,"(-105.07142067388635, 40.30650197834095)",-105.07142067388635,40.30650197834095
57,-11696497.046342866,4486919.275886988,"(-105.07142067388635, 40.30668164139777)",-105.07142067388635,40.30668164139777
58,-11696497.046342866,4486939.275886988,"(-105.07142067388635, 40.30686130445459)",-105.07142067388635,40.30686130445459
59,-11696497.046342866,4486959.275886988,"(-105.07142067388635, 40.30704096751142)",-105.07142067388635,40.30704096751142
60,-11696497.046342866,4486979.275886988,"(-105.07142067388635, 40.30722063056824)",-105.07142067388635,40.30722063056824
61,-11696497.046342866,4486999.275886988,"(-105.07142067388635, 40.307400293625065)",-105.07142067388635,40.307400293625065
62,-11696497.046342866,4487019.275886988,"(-105.07142067388635, 40.30757995668189)",-105.07142067388635,40.30757995668189
63,-11696497.046342866,4487039.275886988,"(-105.07142067388635, 40.30775961973871)",-105.07142067388635,40.30775961973871
64,-11696497.046342866,4487059.275886988,"(-105.07142067388635, 40.30793928279554)",-105.07142067388635,40.30793928279554
65,-11696497.046342866,4487079.275886988,"(-105.07142067388635, 40.308118945852364)",-105.07142067388635,40.308118945852364
66,-11696497.046342866,4487099.275886988,"(-105.07142067388635, 40.30829860890918)",-105.07142067388635,40.30829860890918
67,-11696497.046342866,4487119.275886988,"(-105.07142067388635, 40.30847827196601)",-105.07142067388635,40.30847827196601
68,-11696497.046342866,4487139.275886988,"(-105.07142067388635, 40.308657935022836)",-105.07142067388635,40.308657935022836
69,-11696497.046342866,4487159.275886988,"(-105.07142067388635, 40.308837598079656)",-105.07142067388635,40.308837598079656
70,-11696497.046342866,4487179.275886988,"(-105.07142067388635, 40.30901726113648)",-105.07142067388635,40.30901726113648
71,-11696497.046342866,4487199.275886988,"(-105.07142067388635, 40.3091969241933)",-105.07142067388635,40.3091969241933
72,-11696497.046342866,4487219.275886988,"(-105.07142067388635, 40.30937658725013)",-105.07142067388635,40.30937658725013
73,-11696497.046342866,4487239.275886988,"(-105.07142067388635, 40.309556250306954)",-105.07142067388635,40.309556250306954
74,-11696497.046342866,4487259.275886988,"(-105.07142067388635, 40.309735913363774)",-105.07142067388635,40.309735913363774
75,-11696477.046342866,4486779.275886988,"(-105.07124101082952, 40.305424)",-105.07124101082952,40.305424
76,-11696477.046342866,4486799.275886988,"(-105.07124101082952, 40.30560366305683)",-105.07124101082952,40.30560366305683
77,-11696477.046342866,4486819.275886988,"(-105.07124101082952, 40.30578332611365)",-105.07124101082952,40.30578332611365
78,-11696477.046342866,4486839.275886988,"(-105.07124101082952, 40.305962989170474)",-105.07124101082952,40.305962989170474
79,-11696477.046342866,4486859.275886988,"(-105.07124101082952, 40.3061426522273)",-105.07124101082952,40.3061426522273
80,-11696477.046342866,4486879.275886988,"(-105.07124101082952, 40.30632231528412)",-105.07124101082952,40.30632231528412
81,-11696477.046342866,4486899.275886988,"(-105.07124101082952, 40.30650197834095)",-105.07124101082952,40.30650197834095
82,-11696477.046342866,4486919.275886988,"(-105.07124101082952, 40.30668164139777)",-105.07124101082952,40.30668164139777
83,-11696477.046342866,4486939.275886988,"(-105.07124101082952, 40.30686130445459)",-105.07124101082952,40.30686130445459
84,-11696477.046342866,4486959.275886988,"(-105.07124101082952, 40.30704096751142)",-105.07124101082952,40.30704096751142
85,-11696477.046342866,4486979.275886988,"(-105.07124101082952, 40.30722063056824)",-105.07124101082952,40.30722063056824
86,-11696477.046342866,4486999.275886988,"(-105.07124101082952, 40.307400293625065)",-105.07124101082952,40.307400293625065
87,-11696477.046342866,4487019.275886988,"(-105.07124101082952, 40.30757995668189)",-105.07124101082952,40.30757995668189
88,-11696477.046342866,4487039.275886988,"(-105.07124101082952, 40.30775961973871)",-105.07124101082952,40.30775961973871
89,-11696477.046342866,4487059.275886988,"(-105.07124101082952, 40.30793928279554)",-105.07124101082952,40.30793928279554
90,-11696477.046342866,4487079.275886988,"(-105.07124101082952, 40.308118945852364)",-105.07124101082952,40.308118945852364
91,-11696477.046342866,4487099.275886988,"(-105.07124101082952, 40.30829860890918)",-105.07124101082952,40.30829860890918
92,-11696477.046342866,4487119.275886988,"(-105.07124101082952, 40.30847827196601)",-105.07124101082952,40.30847827196601
93,-11696477.046342866,4487139.275886988,"(-105.07124101082952, 40.308657935022836)",-105.07124101082952,40.308657935022836
94,-11696477.046342866,4487159.275886988,"(-105.07124101082952, 40.308837598079656)",-105.07124101082952,40.308837598079656
95,-11696477.046342866,4487179.275886988,"(-105.07124101082952, 40.30901726113648)",-105.07124101082952,40.30901726113648
96,-11696477.046342866,4487199.275886988,"(-105.07124101082952, 40.3091969241933)",-105.07124101082952,40.3091969241933
97,-11696477.046342866,4487219.275886988,"(-105.07124101082952, 40.30937658725013)",-105.07124101082952,40.30937658725013
98,-11696477.046342866,4487239.275886988,"(-105.07124101082952, 40.309556250306954)",-105.07124101082952,40.309556250306954
99,-11696477.046342866,4487259.275886988,"(-105.07124101082952, 40.309735913363774)",-105.07124101082952,40.309735913363774
100,-11696457.046342866,4486779.275886988,"(-105.0710613477727, 40.305424)",-105.0710613477727,40.305424
101,-11696457.046342866,4486799.275886988,"(-105.0710613477727, 40.30560366305683)",-105.0710613477727,40.30560366305683
102,-11696457.046342866,4486819.275886988,"(-105.0710613477727, 40.30578332611365)",-105.0710613477727,40.30578332611365
103,-11696457.046342866,4486839.275886988,"(-105.0710613477727, 40.305962989170474)",-105.0710613477727,40.305962989170474
104,-11696457.046342866,4486859.275886988,"(-105.0710613477727, 40.3061426522273)",-105.0710613477727,40.3061426522273
105,-11696457.046342866,4486879.275886988,"(-105.0710613477727, 40.30632231528412)",-105.0710613477727,40.30632231528412
106,-11696457.046342866,4486899.275886988,"(-105.0710613477727, 40.30650197834095)",-105.0710613477727,40.30650197834095
107,-11696457.046342866,4486919.275886988,"(-105.0710613477727, 40.30668164139777)",-105.0710613477727,40.30668164139777
108,-11696457.046342866,4486939.275886988,"(-105.0710613477727, 40.30686130445459)",-105.0710613477727,40.30686130445459
109,-11696457.046342866,4486959.275886988,"(-105.0710613477727, 40.30704096751142)",-105.0710613477727,40.30704096751142
110,-11696457.046342866,4486979.275886988,"(-105.0710613477727, 40.30722063056824)",-105.0710613477727,40.30722063056824
111,-11696457.046342866,4486999.275886988,"(-105.0710613477727, 40.307400293625065)",-105.0710613477727,40.307400293625065
112,-11696457.046342866,4487019.275886988,"(-105.0710613477727, 40.30757995668189)",-105.0710613477727,40.30757995668189
113,-11696457.046342866,4487039.275886988,"(-105.0710613477727, 40.30775961973871)",-105.0710613477727,40.30775961973871
114,-11696457.046342866,4487059.275886988,"(-105.0710613477727, 40.30793928279554)",-105.0710613477727,40.30793928279554
115,-11696457.046342866,4487079.275886988,"(-105.0710613477727, 40.308118945852364)",-105.0710613477727,40.308118945852364
116,-11696457.046342866,4487099.275886988,"(-105.0710613477727, 40.30829860890918)",-105.0710613477727,40.30829860890918
117,-11696457.046342866,4487119.275886988,"(-105.0710613477727, 40.30847827196601)",-105.0710613477727,40.30847827196601
118,-11696457.046342866,4487139.275886988,"(-105.0710613477727, 40.308657935022836)",-105.0710613477727,40.308657935022836
119,-11696457.046342866,4487159.275886988,"(-105.0710613477727, 40.308837598079656)",-105.0710613477727,40.308837598079656
120,-11696457.046342866,4487179.275886988,"(-105.0710613477727, 40.30901726113648)",-105.0710613477727,40.30901726113648
121,-11696457.046342866,4487199.275886988,"(-105.0710613477727, 40.3091969241933)",-105.0710613477727,40.3091969241933
122,-11696457.046342866,4487219.275886988,"(-105.0710613477727, 40.30937658725013)",-105.0710613477727,40.30937658725013
123,-11696457.046342866,4487239.275886988,"(-105.0710613477727, 40.309556250306954)",-105.0710613477727,40.309556250306954
124,-11696457.046342866,4487259.275886988,"(-105.0710613477727, 40.309735913363774)",-105.0710613477727,40.309735913363774
